Date,Spot,Futures
2012-10-01,1412.160034,1406.75
2012-11-01,1416.180054,1414.5
2012-12-01,1426.189941,1420.0
2013-01-01,1498.109985,1493.25
2013-02-01,1514.680054,1513.25
2013-03-01,1569.189941,1562.75
2013-04-01,1597.569946,1592.25
2013-05-01,1630.73999,1629.0
2013-06-01,1606.280029,1599.25
2013-07-01,1685.72998,1680.5
2013-08-01,1632.969971,1631.25
2013-09-01,1681.550049,1674.25
2013-10-01,1756.540039,1751.0
2013-11-01,1805.810059,1804.0
2013-12-01,1848.359985,1841.0
2014-01-01,1782.589966,1776.5
2014-02-01,1859.449951,1857.5
2014-03-01,1872.339966,1864.5
2014-04-01,1883.949951,1878.0
2014-05-01,1923.569946,1921.5
2014-06-01,1960.22998,1952.5
2014-07-01,1930.670044,1924.75
2014-08-01,2003.369995,2001.5
2014-09-01,1972.290039,1965.5
2014-10-01,2018.050049,2011.5
2014-11-01,2067.560059,2066.25
2014-12-01,2058.899902,2052.5
2015-01-01,1994.98999,1988.5
2015-02-01,2104.5,2102.75
2015-03-01,2067.889893,2060.75
2015-04-01,2085.51001,2079.0
2015-05-01,2107.389893,2106.0
2015-06-01,2063.110107,2054.5
2015-07-01,2103.840088,2098.5
2015-08-01,1972.180054,1969.25
2015-09-01,1920.030029,1908.75
2015-10-01,2079.360107,2073.75
2015-11-01,2080.409912,2079.75
2015-12-01,2043.939941,2035.5
2016-01-01,1940.23999,1930.0
2016-02-01,1932.22998,1929.5
2016-03-01,2059.73999,2051.5
2016-04-01,2065.300049,2059.0
2016-05-01,2096.949951,2095.0
2016-06-01,2098.860107,2090.25
2016-07-01,2173.600098,2168.25
2016-08-01,2170.949951,2169.5
2016-09-01,2168.27002,2160.5
2016-10-01,2126.149902,2120.0
2016-11-01,2198.810059,2198.75
2016-12-01,2238.830078,2236.25
2017-01-01,2278.870117,2274.5
2017-02-01,2363.639893,2362.75
2017-03-01,2362.719971,2359.25
2017-04-01,2384.199951,2380.5
2017-05-01,2411.800049,2411.0
2017-06-01,2423.409912,2421.0
2017-07-01,2470.300049,2468.0
2017-08-01,2471.649902,2470.0
2017-09-01,2519.360107,2516.0
2017-10-01,2575.26001,2572.75
2017-11-01,2584.840088,2648.0
2017-12-01,2673.610107,2676.0
2018-01-01,2823.810059,2825.75
2018-02-01,2713.830078,2714.5
2018-03-01,2640.87,2643.0
