exp,wks,occ,ind,south,smsa,ms,fem,union,ed,blk,lwage,id,t,tdum1,tdum2,tdum3,tdum4,tdum5,tdum6,tdum7,exp2
14.0,47.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,7.04752,5.0,5.0,0,0,0,0,1,0,0,196.0
15.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,7.31322,5.0,6.0,0,0,0,0,0,1,0,225.0
16.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,7.29574,5.0,7.0,0,0,0,0,0,0,1,256.0
26.0,44.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,6.90575,6.0,1.0,1,0,0,0,0,0,0,676.0
27.0,47.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,6.90575,6.0,2.0,0,1,0,0,0,0,0,729.0
28.0,47.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,6.90776,6.0,3.0,0,0,1,0,0,0,0,784.0
29.0,47.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,7.00307,6.0,4.0,0,0,0,1,0,0,0,841.0
30.0,44.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,7.06902,6.0,5.0,0,0,0,0,1,0,0,900.0
31.0,45.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,7.52023,6.0,6.0,0,0,0,0,0,1,0,961.0
32.0,47.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,7.33889,6.0,7.0,0,0,0,0,0,0,1,1024.0
15.0,46.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,6.1334,7.0,1.0,1,0,0,0,0,0,0,225.0
16.0,48.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,6.17379,7.0,2.0,0,1,0,0,0,0,0,256.0
17.0,49.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,6.21261,7.0,3.0,0,0,1,0,0,0,0,289.0
18.0,46.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,6.31355,7.0,4.0,0,0,0,1,0,0,0,324.0
19.0,47.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,6.37502,7.0,5.0,0,0,0,0,1,0,0,361.0
20.0,47.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,6.44572,7.0,6.0,0,0,0,0,0,1,0,400.0
21.0,48.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,6.52209,7.0,7.0,0,0,0,0,0,0,1,441.0
23.0,51.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,10.0,0.0,6.3315,8.0,1.0,1,0,0,0,0,0,0,529.0
24.0,50.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,10.0,0.0,6.40357,8.0,2.0,0,1,0,0,0,0,0,576.0
25.0,50.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,10.0,0.0,6.54391,8.0,3.0,0,0,1,0,0,0,0,625.0
26.0,50.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,10.0,0.0,6.56244,8.0,4.0,0,0,0,1,0,0,0,676.0
27.0,44.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,6.59167,8.0,5.0,0,0,0,0,1,0,0,729.0
28.0,51.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,6.81783,8.0,6.0,0,0,0,0,0,1,0,784.0
29.0,51.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,6.89163,8.0,7.0,0,0,0,0,0,0,1,841.0
3.0,50.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.55108,9.0,1.0,1,0,0,0,0,0,0,9.0
4.0,48.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.55108,9.0,2.0,0,1,0,0,0,0,0,16.0
5.0,50.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.80239,9.0,3.0,0,0,1,0,0,0,0,25.0
6.0,48.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.90776,9.0,4.0,0,0,0,1,0,0,0,36.0
7.0,48.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,7.09008,9.0,5.0,0,0,0,0,1,0,0,49.0
8.0,44.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,7.17012,9.0,6.0,0,0,0,0,0,1,0,64.0
9.0,48.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,7.20786,9.0,7.0,0,0,0,0,0,0,1,81.0
3.0,49.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.39693,10.0,1.0,1,0,0,0,0,0,0,9.0
4.0,47.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.43775,10.0,2.0,0,1,0,0,0,0,0,16.0
5.0,46.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.43775,10.0,3.0,0,0,1,0,0,0,0,25.0
6.0,44.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.43775,10.0,4.0,0,0,0,1,0,0,0,36.0
7.0,43.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.52209,10.0,5.0,0,0,0,0,1,0,0,49.0
8.0,34.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.61338,10.0,6.0,0,0,0,0,0,1,0,64.0
9.0,40.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.73934,10.0,7.0,0,0,0,0,0,0,1,81.0
24.0,47.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,6.65801,11.0,1.0,1,0,0,0,0,0,0,576.0
25.0,48.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,6.72623,11.0,2.0,0,1,0,0,0,0,0,625.0
26.0,45.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,6.80239,11.0,3.0,0,0,1,0,0,0,0,676.0
27.0,45.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,6.90776,11.0,4.0,0,0,0,1,0,0,0,729.0
28.0,47.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,7.03966,11.0,5.0,0,0,0,0,1,0,0,784.0
29.0,17.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,7.12769,11.0,6.0,0,0,0,0,0,1,0,841.0
30.0,47.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,7.24423,11.0,7.0,0,0,0,0,0,0,1,900.0
21.0,47.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,0.0,6.55108,12.0,1.0,1,0,0,0,0,0,0,441.0
22.0,46.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,0.0,6.62936,12.0,2.0,0,1,0,0,0,0,0,484.0
23.0,47.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,0.0,6.72263,12.0,3.0,0,0,1,0,0,0,0,529.0
24.0,47.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,0.0,6.7334,12.0,4.0,0,0,0,1,0,0,0,576.0
25.0,47.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,0.0,6.72263,12.0,5.0,0,0,0,0,1,0,0,625.0
26.0,47.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,0.0,6.95177,12.0,6.0,0,0,0,0,0,1,0,676.0
27.0,46.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,0.0,7.05272,12.0,7.0,0,0,0,0,0,0,1,729.0
26.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,0.0,6.90575,13.0,1.0,1,0,0,0,0,0,0,676.0
27.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,0.0,6.90073,13.0,2.0,0,1,0,0,0,0,0,729.0
28.0,50.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,0.0,7.17012,13.0,3.0,0,0,1,0,0,0,0,784.0
29.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,0.0,7.26543,13.0,4.0,0,0,0,1,0,0,0,841.0
30.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,0.0,7.25912,13.0,5.0,0,0,0,0,1,0,0,900.0
31.0,46.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,0.0,7.25488,13.0,6.0,0,0,0,0,0,1,0,961.0
32.0,46.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,0.0,7.40001,13.0,7.0,0,0,0,0,0,0,1,1024.0
15.0,45.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,0.0,6.80239,14.0,1.0,1,0,0,0,0,0,0,225.0
16.0,45.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,0.0,6.80239,14.0,2.0,0,1,0,0,0,0,0,256.0
17.0,45.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,0.0,6.9256,14.0,3.0,0,0,1,0,0,0,0,289.0
18.0,44.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,0.0,7.00307,14.0,4.0,0,0,0,1,0,0,0,324.0
19.0,44.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,0.0,7.1309,14.0,5.0,0,0,0,0,1,0,0,361.0
20.0,44.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,0.0,7.12448,14.0,6.0,0,0,0,0,0,1,0,400.0
21.0,44.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,0.0,7.12287,14.0,7.0,0,0,0,0,0,0,1,441.0
9.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,5.94017,15.0,1.0,1,0,0,0,0,0,0,81.0
10.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,5.86079,15.0,2.0,0,1,0,0,0,0,0,100.0
11.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,5.99894,15.0,3.0,0,0,1,0,0,0,0,121.0
12.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,6.0845,15.0,4.0,0,0,0,1,0,0,0,144.0
13.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,6.39526,15.0,5.0,0,0,0,0,1,0,0,169.0
14.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,6.47697,15.0,6.0,0,0,0,0,0,1,0,196.0
15.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,6.47697,15.0,7.0,0,0,0,0,0,0,1,225.0
16.0,50.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,1.0,5.97889,16.0,1.0,1,0,0,0,0,0,0,256.0
17.0,50.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,1.0,5.78383,16.0,2.0,0,1,0,0,0,0,0,289.0
18.0,48.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,1.0,5.85793,16.0,3.0,0,0,1,0,0,0,0,324.0
19.0,48.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,1.0,5.95324,16.0,4.0,0,0,0,1,0,0,0,361.0
20.0,50.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,1.0,6.14633,16.0,5.0,0,0,0,0,1,0,0,400.0
21.0,50.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,1.0,6.17587,16.0,6.0,0,0,0,0,0,1,0,441.0
22.0,49.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,1.0,6.38856,16.0,7.0,0,0,0,0,0,0,1,484.0
16.0,49.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,6.62007,17.0,1.0,1,0,0,0,0,0,0,256.0
17.0,48.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,6.49224,17.0,2.0,0,1,0,0,0,0,0,289.0
18.0,49.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,6.77992,17.0,3.0,0,0,1,0,0,0,0,324.0
19.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,6.74524,17.0,4.0,0,0,0,1,0,0,0,361.0
20.0,51.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,7.09008,17.0,5.0,0,0,0,0,1,0,0,400.0
21.0,46.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,7.1309,17.0,6.0,0,0,0,0,0,1,0,441.0
22.0,47.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,7.1309,17.0,7.0,0,0,0,0,0,0,1,484.0
25.0,47.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.90575,18.0,1.0,1,0,0,0,0,0,0,625.0
26.0,46.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,6.90575,18.0,2.0,0,1,0,0,0,0,0,676.0
27.0,47.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,7.6009,18.0,3.0,0,0,1,0,0,0,0,729.0
28.0,47.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,7.64969,18.0,4.0,0,0,0,1,0,0,0,784.0
29.0,47.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,7.71869,18.0,5.0,0,0,0,0,1,0,0,841.0
30.0,48.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,7.78322,18.0,6.0,0,0,0,0,0,1,0,900.0
31.0,47.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,7.80384,18.0,7.0,0,0,0,0,0,0,1,961.0
40.0,37.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,6.38688,19.0,1.0,1,0,0,0,0,0,0,1600.0
41.0,49.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,6.47389,19.0,2.0,0,1,0,0,0,0,0,1681.0
42.0,50.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,6.54247,19.0,3.0,0,0,1,0,0,0,0,1764.0
43.0,47.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,6.67582,19.0,4.0,0,0,0,1,0,0,0,1849.0
44.0,47.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,6.7417,19.0,5.0,0,0,0,0,1,0,0,1936.0
45.0,25.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,6.83195,19.0,6.0,0,0,0,0,0,1,0,2025.0
46.0,40.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,6.93634,19.0,7.0,0,0,0,0,0,0,1,2116.0
25.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,6.78333,20.0,1.0,1,0,0,0,0,0,0,625.0
26.0,49.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,6.85751,20.0,2.0,0,1,0,0,0,0,0,676.0
27.0,49.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,6.98472,20.0,3.0,0,0,1,0,0,0,0,729.0
28.0,48.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,7.0579,20.0,4.0,0,0,0,1,0,0,0,784.0
29.0,48.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,7.20564,20.0,5.0,0,0,0,0,1,0,0,841.0
30.0,49.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,7.10988,20.0,6.0,0,0,0,0,0,1,0,900.0
31.0,48.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,7.26683,20.0,7.0,0,0,0,0,0,0,1,961.0
28.0,42.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,6.05912,21.0,1.0,1,0,0,0,0,0,0,784.0
29.0,46.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,6.05209,21.0,2.0,0,1,0,0,0,0,0,841.0
30.0,49.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,5.99146,21.0,3.0,0,0,1,0,0,0,0,900.0
31.0,49.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,6.21461,21.0,4.0,0,0,0,1,0,0,0,961.0
32.0,48.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,6.32436,21.0,5.0,0,0,0,0,1,0,0,1024.0
33.0,45.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,6.44254,21.0,6.0,0,0,0,0,0,1,0,1089.0
34.0,42.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,6.44254,21.0,7.0,0,0,0,0,0,0,1,1156.0
20.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,6.59987,22.0,1.0,1,0,0,0,0,0,0,400.0
21.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,6.59987,22.0,2.0,0,1,0,0,0,0,0,441.0
22.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,6.68461,22.0,3.0,0,0,1,0,0,0,0,484.0
23.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,6.72743,22.0,4.0,0,0,0,1,0,0,0,529.0
24.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,6.88244,22.0,5.0,0,0,0,0,1,0,0,576.0
25.0,51.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,6.95655,22.0,6.0,0,0,0,0,0,1,0,625.0
26.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,7.04752,22.0,7.0,0,0,0,0,0,0,1,676.0
11.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,6.90575,23.0,1.0,1,0,0,0,0,0,0,121.0
12.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,6.90575,23.0,2.0,0,1,0,0,0,0,0,144.0
13.0,51.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,7.49554,23.0,3.0,0,0,1,0,0,0,0,169.0
14.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,7.66153,23.0,4.0,0,0,0,1,0,0,0,196.0
15.0,48.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,7.86327,23.0,5.0,0,0,0,0,1,0,0,225.0
16.0,47.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,8.03916,23.0,6.0,0,0,0,0,0,1,0,256.0
17.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,7.89357,23.0,7.0,0,0,0,0,0,0,1,289.0
5.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,5.43808,24.0,1.0,1,0,0,0,0,0,0,25.0
6.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,5.52146,24.0,2.0,0,1,0,0,0,0,0,36.0
7.0,51.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,5.57973,24.0,3.0,0,0,1,0,0,0,0,49.0
8.0,52.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,5.66988,24.0,4.0,0,0,0,1,0,0,0,64.0
9.0,49.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,5.73657,24.0,5.0,0,0,0,0,1,0,0,81.0
10.0,51.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,5.84354,24.0,6.0,0,0,0,0,0,1,0,100.0
11.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,5.85793,24.0,7.0,0,0,0,0,0,0,1,121.0
8.0,37.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,0.0,6.52942,25.0,1.0,1,0,0,0,0,0,0,64.0
9.0,39.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,0.0,6.57925,25.0,2.0,0,1,0,0,0,0,0,81.0
10.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,0.0,6.71538,25.0,3.0,0,0,1,0,0,0,0,100.0
11.0,38.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,0.0,6.68461,25.0,4.0,0,0,0,1,0,0,0,121.0
12.0,38.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,0.0,6.79122,25.0,5.0,0,0,0,0,1,0,0,144.0
13.0,39.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,0.0,6.97541,25.0,6.0,0,0,0,0,0,1,0,169.0
14.0,41.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,0.0,6.90776,25.0,7.0,0,0,0,0,0,0,1,196.0
14.0,48.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,6.47697,26.0,1.0,1,0,0,0,0,0,0,196.0
15.0,47.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,6.55108,26.0,2.0,0,1,0,0,0,0,0,225.0
16.0,49.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,6.86693,26.0,3.0,0,0,1,0,0,0,0,256.0
17.0,48.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,6.85646,26.0,4.0,0,0,0,1,0,0,0,289.0
18.0,47.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,7.27932,26.0,5.0,0,0,0,0,1,0,0,324.0
19.0,47.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,7.54961,26.0,6.0,0,0,0,0,0,1,0,361.0
20.0,48.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,7.36708,26.0,7.0,0,0,0,0,0,0,1,400.0
8.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,6.01616,27.0,1.0,1,0,0,0,0,0,0,64.0
9.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,6.90575,27.0,2.0,0,1,0,0,0,0,0,81.0
